                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.3528,                  1.008,                 1.2398,                0.70181,                0.54489,                0.59655,                0.27873,                 1.9837,                 1.4763,                 1.6867,             0.00036005,             0.00036005,             0.00036005
                     63,                 1.3425,                 1.0017,                  1.236,                0.71749,                 0.5714,                 0.6005,                0.27654,                 1.9982,                 1.4973,                 1.6975,             0.00035106,             0.00035106,             0.00035106
                     64,                  1.347,                 1.0055,                 1.2362,                0.68548,                0.56314,                0.59468,                0.27509,                 2.0034,                 1.4824,                 1.7029,             0.00034206,             0.00034206,             0.00034206
                     65,                 1.3398,                0.99314,                 1.2268,                0.67252,                0.58375,                0.61108,                0.28581,                 1.9814,                 1.4454,                 1.6743,             0.00033306,             0.00033306,             0.00033306
                     66,                 1.3345,                0.98701,                 1.2279,                0.70316,                0.57251,                0.60683,                0.28541,                 1.9822,                 1.4769,                  1.678,             0.00032406,             0.00032406,             0.00032406
                     67,                  1.346,                0.98584,                 1.2255,                0.68629,                0.57215,                0.60819,                0.28608,                 1.9748,                 1.4358,                 1.6672,             0.00031506,             0.00031506,             0.00031506
                     68,                 1.3265,                0.97737,                 1.2207,                0.72566,                 0.5562,                0.60889,                0.29042,                 1.9908,                  1.453,                 1.6766,             0.00030606,             0.00030606,             0.00030606
                     69,                 1.3248,                0.97563,                 1.2175,                0.66491,                0.57494,                0.60289,                0.28587,                 1.9927,                 1.4549,                 1.6793,             0.00029706,             0.00029706,             0.00029706
                     70,                 1.3113,                0.96362,                 1.2128,                0.66407,                 0.5612,                0.59782,                 0.2844,                 1.9972,                 1.4627,                 1.6785,             0.00028806,             0.00028806,             0.00028806
                     71,                 1.3146,                0.95659,                 1.2086,                0.67803,                0.57796,                0.60431,                0.29113,                 2.0059,                 1.4652,                 1.6858,             0.00027906,             0.00027906,             0.00027906
                     72,                 1.3135,                0.95747,                 1.2075,                0.69035,                0.55183,                 0.6073,                0.28746,                  1.997,                 1.4593,                 1.6749,             0.00027006,             0.00027006,             0.00027006
                     73,                 1.3024,                 0.9475,                 1.2053,                0.67998,                0.58808,                 0.6068,                0.29067,                 1.9885,                 1.4531,                 1.6695,             0.00026106,             0.00026106,             0.00026106
