                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.1134,                0.72456,                 1.1477,                 0.7325,                 0.5996,                0.64581,                0.31711,                 1.9208,                 1.3574,                 1.7736,             0.00025207,             0.00025207,             0.00025207
                     75,                 1.1061,                0.71908,                 1.1438,                0.69838,                  0.638,                0.65902,                 0.3224,                 1.9357,                 1.3413,                 1.7701,             0.00024307,             0.00024307,             0.00024307
                     76,                 1.0997,                0.71539,                 1.1346,                0.71543,                0.59755,                 0.6446,                0.31648,                 1.9243,                 1.3537,                 1.7569,             0.00023407,             0.00023407,             0.00023407
                     77,                 1.1048,                0.71473,                 1.1424,                0.73757,                0.59834,                0.66236,                0.32444,                 1.9046,                  1.355,                 1.7394,             0.00022507,             0.00022507,             0.00022507
                     78,                 1.1018,                 0.7172,                 1.1412,                0.73387,                 0.5941,                0.65349,                0.32093,                 1.9219,                 1.3654,                 1.7509,             0.00021607,             0.00021607,             0.00021607
                     79,                 1.0943,                0.71349,                 1.1392,                0.73463,                0.60659,                0.66146,                0.32435,                 1.9203,                 1.3461,                 1.7504,             0.00020707,             0.00020707,             0.00020707
                     80,                 1.0979,                0.70825,                 1.1334,                0.75177,                0.61974,                 0.6664,                0.32686,                 1.9327,                 1.3385,                 1.7556,             0.00019807,             0.00019807,             0.00019807
                     81,                  1.079,                0.70012,                 1.1291,                0.77565,                0.58746,                0.66343,                0.33051,                 1.9119,                 1.3447,                  1.743,             0.00018907,             0.00018907,             0.00018907
                     82,                   1.08,                0.69393,                 1.1256,                0.75359,                0.59307,                0.66406,                 0.3268,                 1.9141,                 1.3464,                  1.749,             0.00018007,             0.00018007,             0.00018007
                     83,                 1.0829,                0.69637,                  1.129,                0.76388,                0.59709,                0.67216,                0.32719,                 1.9161,                 1.3432,                 1.7564,             0.00017107,             0.00017107,             0.00017107
                     84,                 1.0768,                0.69163,                 1.1247,                0.76744,                 0.6111,                0.66122,                0.32468,                 1.9249,                 1.3468,                 1.7639,             0.00016207,             0.00016207,             0.00016207
                     85,                 1.0712,                0.68946,                 1.1216,                0.76982,                0.61538,                0.67352,                0.32442,                 1.9147,                 1.3369,                 1.7489,             0.00015308,             0.00015308,             0.00015308
                     86,                 1.0774,                0.69159,                 1.1247,                 0.7714,                0.61179,                0.66345,                0.32511,                 1.9239,                 1.3315,                 1.7654,             0.00014408,             0.00014408,             0.00014408
                     87,                 1.0533,                0.68184,                 1.1111,                0.78068,                0.59119,                0.66869,                 0.3265,                 1.9242,                 1.3462,                 1.7682,             0.00013508,             0.00013508,             0.00013508
                     88,                 1.0645,                0.68219,                 1.1188,                0.72961,                0.62175,                0.65228,                0.32386,                 1.9211,                   1.36,                 1.7642,             0.00012608,             0.00012608,             0.00012608
                     89,                 1.0606,                0.67973,                 1.1142,                0.74836,                0.59531,                0.66107,                0.32161,                 1.9223,                 1.3738,                 1.7625,             0.00011708,             0.00011708,             0.00011708
                     90,                 1.0549,                0.67448,                 1.1098,                0.76084,                0.61012,                0.66954,                0.32313,                 1.9267,                 1.3583,                 1.7618,             0.00010808,             0.00010808,             0.00010808
                     91,                0.96945,                0.57618,                 1.0679,                0.74986,                0.60728,                0.64014,                0.31719,                 1.9216,                 1.3824,                 1.7761,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                0.95003,                0.55895,                  1.061,                0.78807,                0.59508,                0.65872,                0.32545,                 1.9232,                 1.3699,                 1.7813,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                0.93495,                0.54986,                 1.0515,                0.72907,                0.61438,                 0.6454,                0.32016,                 1.9244,                 1.3767,                 1.7736,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                0.93042,                0.54776,                 1.0518,                0.78686,                 0.5804,                0.64336,                0.32025,                 1.9277,                 1.3833,                 1.7794,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                0.92374,                0.54491,                 1.0458,                0.78715,                0.58585,                0.65108,                0.31905,                 1.9201,                 1.3724,                   1.78,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                0.92271,                0.54302,                 1.0435,                0.72391,                0.61674,                0.64454,                0.32354,                 1.9241,                 1.3743,                 1.7781,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                0.91368,                0.53776,                 1.0429,                0.72793,                0.61597,                0.64416,                0.32216,                 1.9224,                 1.3753,                 1.7812,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                0.90748,                0.53247,                 1.0353,                0.74374,                0.60659,                0.64805,                 0.3237,                 1.9171,                 1.3769,                 1.7779,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                0.90034,                0.52906,                 1.0365,                0.73239,                0.61346,                0.64535,                0.32227,                 1.9224,                 1.3892,                 1.7804,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                0.90518,                0.52928,                 1.0391,                0.76976,                0.59977,                 0.6531,                0.32227,                 1.9232,                 1.3935,                 1.7824,             1.8089e-05,             1.8089e-05,             1.8089e-05
